Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2006,Arkansas,0.19,0.05,0.25,0.51,"Arkansas
(34.748649999697875, -92.27448999971358)"
2007,Arkansas,0.17,0.05,0.24,0.54,"Arkansas
(34.748649999697875, -92.27448999971358)"
2008,Arkansas,0.17,0.05,0.26,0.51,"Arkansas
(34.748649999697875, -92.27448999971358)"
2009,Arkansas,0.16,0.06,0.28,0.50,"Arkansas
(34.748649999697875, -92.27448999971358)"
2010,Arkansas,0.17,0.06,0.24,0.53,"Arkansas
(34.748649999697875, -92.27448999971358)"
1995,California,0.13,0.03,0.28,0.57,"California
(37.638300000444815, -120.99958999997835)"
1996,California,0.13,0.06,0.25,0.56,"California
(37.638300000444815, -120.99958999997835)"
1997,California,0.13,0.06,0.27,0.55,"California
(37.638300000444815, -120.99958999997835)"
1998,California,0.14,0.06,0.26,0.55,"California
(37.638300000444815, -120.99958999997835)"
1999,California,0.13,0.06,0.26,0.55,"California
(37.638300000444815, -120.99958999997835)"
2000,California,0.12,0.05,0.26,0.57,"California
(37.638300000444815, -120.99958999997835)"
2001,California,0.12,0.05,0.26,0.57,"California
(37.638300000444815, -120.99958999997835)"
2002,California,0.11,0.05,0.24,0.60,"California
(37.638300000444815, -120.99958999997835)"
2003,California,0.11,0.06,0.25,0.58,"California
(37.638300000444815, -120.99958999997835)"
2004,California,0.10,0.05,0.24,0.61,"California
(37.638300000444815, -120.99958999997835)"
2005,California,0.10,0.05,0.23,0.62,"California
(37.638300000444815, -120.99958999997835)"
2006,California,0.09,0.06,0.24,0.61,"California
(37.638300000444815, -120.99958999997835)"
2007,California,0.09,0.06,0.23,0.63,"California
(37.638300000444815, -120.99958999997835)"
2008,California,0.09,0.05,0.23,0.63,"California
(37.638300000444815, -120.99958999997835)"
2009,California,0.08,0.05,0.23,0.64,"California
(37.638300000444815, -120.99958999997835)"
2010,California,0.08,0.05,0.23,0.65,"California
(37.638300000444815, -120.99958999997835)"
1995,Colorado,0.18,0.04,0.27,0.51,"Colorado
(38.842890000173554, -106.13314000041055)"
1996,Colorado,0.17,0.06,0.24,0.53,"Colorado
(38.842890000173554, -106.13314000041055)"
1997,Colorado,0.17,0.06,0.26,0.52,"Colorado
(38.842890000173554, -106.13314000041055)"
1998,Colorado,0.17,0.06,0.24,0.53,"Colorado
(38.842890000173554, -106.13314000041055)"
1999,Colorado,0.18,0.05,0.26,0.52,"Colorado
(38.842890000173554, -106.13314000041055)"
2000,Colorado,0.15,0.05,0.26,0.54,"Colorado
(38.842890000173554, -106.13314000041055)"
2001,Colorado,0.15,0.07,0.26,0.52,"Colorado
(38.842890000173554, -106.13314000041055)"
2002,Colorado,0.16,0.05,0.26,0.54,"Colorado
(38.842890000173554, -106.13314000041055)"
2003,Colorado,0.14,0.05,0.27,0.54,"Colorado
(38.842890000173554, -106.13314000041055)"
2004,Colorado,0.14,0.06,0.24,0.56,"Colorado
(38.842890000173554, -106.13314000041055)"
2005,Colorado,0.14,0.06,0.25,0.55,"Colorado
(38.842890000173554, -106.13314000041055)"
2006,Colorado,0.12,0.06,0.25,0.58,"Colorado
(38.842890000173554, -106.13314000041055)"
2007,Colorado,0.13,0.05,0.25,0.57,"Colorado
(38.842890000173554, -106.13314000041055)"
2008,Colorado,0.12,0.05,0.25,0.58,"Colorado
(38.842890000173554, -106.13314000041055)"
2009,Colorado,0.12,0.05,0.26,0.57,"Colorado
(38.842890000173554, -106.13314000041055)"
2010,Colorado,0.11,0.05,0.25,0.59,"Colorado
(38.842890000173554, -106.13314000041055)"
1995,Connecticut,0.19,0.02,0.29,0.51,"Connecticut
(41.56265999995918, -72.6498400002157)"
1996,Connecticut,0.17,0.04,0.28,0.50,"Connecticut
(41.56265999995918, -72.6498400002157)"
1997,Connecticut,0.17,0.04,0.29,0.49,"Connecticut
(41.56265999995918, -72.6498400002157)"
1998,Connecticut,0.15,0.06,0.28,0.51,"Connecticut
(41.56265999995918, -72.6498400002157)"
1999,Connecticut,0.18,0.05,0.25,0.52,"Connecticut
(41.56265999995918, -72.6498400002157)"
2000,Connecticut,0.15,0.05,0.28,0.52,"Connecticut
(41.56265999995918, -72.6498400002157)"
2001,Connecticut,0.15,0.06,0.29,0.51,"Connecticut
(41.56265999995918, -72.6498400002157)"
2002,Connecticut,0.14,0.05,0.30,0.50,"Connecticut
(41.56265999995918, -72.6498400002157)"
2003,Connecticut,0.14,0.05,0.31,0.50,"Connecticut
(41.56265999995918, -72.6498400002157)"
2004,Connecticut,0.13,0.05,0.30,0.52,"Connecticut
(41.56265999995918, -72.6498400002157)"
2005,Connecticut,0.12,0.04,0.29,0.54,"Connecticut
(41.56265999995918, -72.6498400002157)"
2006,Connecticut,0.12,0.05,0.28,0.55,"Connecticut
(41.56265999995918, -72.6498400002157)"
2007,Connecticut,0.11,0.04,0.31,0.54,"Connecticut
(41.56265999995918, -72.6498400002157)"
2008,Connecticut,0.12,0.04,0.30,0.54,"Connecticut
(41.56265999995918, -72.6498400002157)"
2009,Connecticut,0.11,0.05,0.28,0.56,"Connecticut
(41.56265999995918, -72.6498400002157)"
2010,Connecticut,0.09,0.04,0.29,0.58,"Connecticut
(41.56265999995918, -72.6498400002157)"
1995,Delaware,0.23,0.02,0.26,0.49,"Delaware
(39.00883000020451, -75.57774000040052)"
1996,Delaware,0.21,0.03,0.27,0.49,"Delaware
(39.00883000020451, -75.57774000040052)"
1997,Delaware,0.22,0.04,0.27,0.47,"Delaware
(39.00883000020451, -75.57774000040052)"
1998,Delaware,0.21,0.04,0.25,0.51,"Delaware
(39.00883000020451, -75.57774000040052)"
1999,Delaware,0.21,0.05,0.24,0.51,"Delaware
(39.00883000020451, -75.57774000040052)"
2000,Delaware,0.19,0.04,0.24,0.53,"Delaware
(39.00883000020451, -75.57774000040052)"
2001,Delaware,0.19,0.06,0.25,0.50,"Delaware
(39.00883000020451, -75.57774000040052)"
2002,Delaware,0.20,0.05,0.26,0.49,"Delaware
(39.00883000020451, -75.57774000040052)"
2003,Delaware,0.17,0.05,0.28,0.50,"Delaware
(39.00883000020451, -75.57774000040052)"
2004,Delaware,0.19,0.06,0.25,0.51,"Delaware
(39.00883000020451, -75.57774000040052)"
2005,Delaware,0.16,0.05,0.27,0.52,"Delaware
(39.00883000020451, -75.57774000040052)"
2006,Delaware,0.17,0.05,0.27,0.51,"Delaware
(39.00883000020451, -75.57774000040052)"
2007,Delaware,0.15,0.04,0.26,0.55,"Delaware
(39.00883000020451, -75.57774000040052)"
2008,Delaware,0.13,0.04,0.29,0.54,"Delaware
(39.00883000020451, -75.57774000040052)"
2009,Delaware,0.13,0.05,0.28,0.53,"Delaware
(39.00883000020451, -75.57774000040052)"
2010,Delaware,0.13,0.05,0.27,0.56,"Delaware
(39.00883000020451, -75.57774000040052)"
1996,District of Columbia,0.15,0.06,0.18,0.62,"District of Columbia
(38.89036999987576, -77.03195999965413)"
1997,District of Columbia,0.12,0.07,0.16,0.65,"District of Columbia
(38.89036999987576, -77.03195999965413)"
1998,District of Columbia,0.15,0.07,0.17,0.61,"District of Columbia
(38.89036999987576, -77.03195999965413)"
1999,District of Columbia,0.13,0.07,0.16,0.63,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2000,District of Columbia,0.14,0.07,0.22,0.57,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2001,District of Columbia,0.12,0.09,0.23,0.56,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2002,District of Columbia,0.13,0.07,0.20,0.59,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2003,District of Columbia,0.14,0.08,0.22,0.56,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2004,District of Columbia,0.13,0.08,0.19,0.60,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2005,District of Columbia,0.12,0.09,0.22,0.59,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2006,District of Columbia,0.11,0.07,0.22,0.60,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2007,District of Columbia,0.11,0.06,0.22,0.60,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2008,District of Columbia,0.09,0.07,0.23,0.61,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2009,District of Columbia,0.09,0.06,0.24,0.61,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2010,District of Columbia,0.10,0.06,0.23,0.61,"District of Columbia
(38.89036999987576, -77.03195999965413)"
1995,Florida,0.20,0.03,0.29,0.49,"Florida
(28.932039999846268, -81.9289599999039)"
1996,Florida,0.18,0.04,0.31,0.48,"Florida
(28.932039999846268, -81.9289599999039)"
1997,Florida,0.20,0.04,0.26,0.50,"Florida
(28.932039999846268, -81.9289599999039)"
1998,Florida,0.18,0.04,0.26,0.52,"Florida
(28.932039999846268, -81.9289599999039)"
1999,Florida,0.16,0.04,0.27,0.53,"Florida
(28.932039999846268, -81.9289599999039)"
2000,Florida,0.18,0.06,0.27,0.49,"Florida
(28.932039999846268, -81.9289599999039)"
2001,Florida,0.18,0.05,0.28,0.50,"Florida
(28.932039999846268, -81.9289599999039)"
2002,Florida,0.18,0.04,0.25,0.53,"Florida
(28.932039999846268, -81.9289599999039)"
2003,Florida,0.17,0.07,0.27,0.49,"Florida
(28.932039999846268, -81.9289599999039)"
2004,Florida,0.15,0.06,0.26,0.54,"Florida
(28.932039999846268, -81.9289599999039)"
2005,Florida,0.15,0.07,0.27,0.52,"Florida
(28.932039999846268, -81.9289599999039)"
2006,Florida,0.16,0.05,0.26,0.53,"Florida
(28.932039999846268, -81.9289599999039)"
2007,Florida,0.14,0.05,0.26,0.55,"Florida
(28.932039999846268, -81.9289599999039)"
2008,Florida,0.13,0.05,0.26,0.56,"Florida
(28.932039999846268, -81.9289599999039)"
2009,Florida,0.13,0.04,0.28,0.55,"Florida
(28.932039999846268, -81.9289599999039)"
2010,Florida,0.12,0.05,0.30,0.53,"Florida
(28.932039999846268, -81.9289599999039)"
1995,Georgia,0.18,0.02,0.18,0.62,"Georgia
(32.83967999993223, -83.62758000031658)"
1996,Georgia,0.17,0.03,0.14,0.66,"Georgia
(32.83967999993223, -83.62758000031658)"
1997,Georgia,0.18,0.05,0.15,0.62,"Georgia
(32.83967999993223, -83.62758000031658)"
1998,Georgia,0.20,0.04,0.22,0.55,"Georgia
(32.83967999993223, -83.62758000031658)"
1999,Georgia,0.18,0.05,0.23,0.54,"Georgia
(32.83967999993223, -83.62758000031658)"
2000,Georgia,0.18,0.05,0.23,0.54,"Georgia
(32.83967999993223, -83.62758000031658)"
2001,Georgia,0.18,0.06,0.21,0.55,"Georgia
(32.83967999993223, -83.62758000031658)"
2002,Georgia,0.18,0.06,0.22,0.54,"Georgia
(32.83967999993223, -83.62758000031658)"
2003,Georgia,0.17,0.06,0.22,0.56,"Georgia
(32.83967999993223, -83.62758000031658)"
2004,Georgia,0.15,0.05,0.21,0.59,"Georgia
(32.83967999993223, -83.62758000031658)"
2005,Georgia,0.16,0.06,0.22,0.56,"Georgia
(32.83967999993223, -83.62758000031658)"
2006,Georgia,0.14,0.06,0.21,0.59,"Georgia
(32.83967999993223, -83.62758000031658)"
2007,Georgia,0.15,0.05,0.23,0.58,"Georgia
(32.83967999993223, -83.62758000031658)"
2008,Georgia,0.15,0.05,0.21,0.59,"Georgia
(32.83967999993223, -83.62758000031658)"
2009,Georgia,0.13,0.05,0.22,0.60,"Georgia
(32.83967999993223, -83.62758000031658)"
2010,Georgia,0.13,0.05,0.23,0.59,"Georgia
(32.83967999993223, -83.62758000031658)"
1995,Hawaii,0.15,0.03,0.22,0.61,"Hawaii
(21.304850000427336, -157.85774999956269)"
1996,Hawaii,0.18,0.04,0.24,0.54,"Hawaii
(21.304850000427336, -157.85774999956269)"
1997,Hawaii,0.14,0.04,0.26,0.55,"Hawaii
(21.304850000427336, -157.85774999956269)"
1998,Hawaii,0.16,0.04,0.26,0.54,"Hawaii
(21.304850000427336, -157.85774999956269)"
1999,Hawaii,0.14,0.04,0.23,0.59,"Hawaii
(21.304850000427336, -157.85774999956269)"
2000,Hawaii,0.16,0.04,0.24,0.56,"Hawaii
(21.304850000427336, -157.85774999956269)"
2001,Hawaii,0.17,0.04,0.24,0.56,"Hawaii
(21.304850000427336, -157.85774999956269)"
2002,Hawaii,0.17,0.04,0.24,0.55,"Hawaii
(21.304850000427336, -157.85774999956269)"
2003,Hawaii,0.14,0.03,0.24,0.59,"Hawaii
(21.304850000427336, -157.85774999956269)"
2005,Hawaii,0.12,0.05,0.26,0.57,"Hawaii
(21.304850000427336, -157.85774999956269)"
2006,Hawaii,0.13,0.05,0.25,0.57,"Hawaii
(21.304850000427336, -157.85774999956269)"
2007,Hawaii,0.13,0.04,0.26,0.57,"Hawaii
(21.304850000427336, -157.85774999956269)"
2008,Hawaii,0.12,0.04,0.25,0.59,"Hawaii
(21.304850000427336, -157.85774999956269)"
2009,Hawaii,0.10,0.05,0.27,0.58,"Hawaii
(21.304850000427336, -157.85774999956269)"
2010,Hawaii,0.11,0.04,0.25,0.60,"Hawaii
(21.304850000427336, -157.85774999956269)"
1995,Idaho,0.18,0.02,0.24,0.56,"Idaho
(43.682590000228515, -114.36368000023168)"
1996,Idaho,0.17,0.04,0.23,0.56,"Idaho
(43.682590000228515, -114.36368000023168)"
1997,Idaho,0.16,0.04,0.24,0.56,"Idaho
(43.682590000228515, -114.36368000023168)"
1998,Idaho,0.16,0.05,0.25,0.55,"Idaho
(43.682590000228515, -114.36368000023168)"
1999,Idaho,0.16,0.06,0.24,0.54,"Idaho
(43.682590000228515, -114.36368000023168)"
2000,Idaho,0.17,0.05,0.25,0.53,"Idaho
(43.682590000228515, -114.36368000023168)"
2001,Idaho,0.15,0.04,0.24,0.56,"Idaho
(43.682590000228515, -114.36368000023168)"
2002,Idaho,0.16,0.04,0.24,0.55,"Idaho
(43.682590000228515, -114.36368000023168)"
2003,Idaho,0.15,0.04,0.24,0.58,"Idaho
(43.682590000228515, -114.36368000023168)"
2004,Idaho,0.13,0.04,0.23,0.59,"Idaho
(43.682590000228515, -114.36368000023168)"
2005,Idaho,0.13,0.05,0.23,0.59,"Idaho
(43.682590000228515, -114.36368000023168)"
2006,Idaho,0.13,0.04,0.23,0.60,"Idaho
(43.682590000228515, -114.36368000023168)"
2007,Idaho,0.15,0.05,0.23,0.58,"Idaho
(43.682590000228515, -114.36368000023168)"
2008,Idaho,0.13,0.04,0.22,0.61,"Idaho
(43.682590000228515, -114.36368000023168)"
2009,Idaho,0.12,0.04,0.22,0.62,"Idaho
(43.682590000228515, -114.36368000023168)"
2010,Idaho,0.11,0.04,0.23,0.62,"Idaho
(43.682590000228515, -114.36368000023168)"
1995,Illinois,0.20,0.03,0.24,0.53,"Illinois
(40.485010000411364, -88.99770999971656)"
1996,Illinois,0.20,0.04,0.23,0.52,"Illinois
(40.485010000411364, -88.99770999971656)"
1997,Illinois,0.18,0.05,0.26,0.51,"Illinois
(40.485010000411364, -88.99770999971656)"
1998,Illinois,0.17,0.06,0.25,0.52,"Illinois
(40.485010000411364, -88.99770999971656)"
1999,Illinois,0.20,0.05,0.24,0.52,"Illinois
(40.485010000411364, -88.99770999971656)"
2000,Illinois,0.16,0.06,0.23,0.55,"Illinois
(40.485010000411364, -88.99770999971656)"
2001,Illinois,0.17,0.06,0.24,0.53,"Illinois
(40.485010000411364, -88.99770999971656)"
2002,Illinois,0.18,0.05,0.23,0.54,"Illinois
(40.485010000411364, -88.99770999971656)"
2003,Illinois,0.17,0.06,0.24,0.52,"Illinois
(40.485010000411364, -88.99770999971656)"
2004,Illinois,0.15,0.07,0.22,0.56,"Illinois
(40.485010000411364, -88.99770999971656)"
2005,Illinois,0.14,0.06,0.24,0.56,"Illinois
(40.485010000411364, -88.99770999971656)"
2006,Illinois,0.14,0.06,0.24,0.56,"Illinois
(40.485010000411364, -88.99770999971656)"
2007,Illinois,0.14,0.06,0.24,0.56,"Illinois
(40.485010000411364, -88.99770999971656)"
2008,Illinois,0.15,0.06,0.23,0.55,"Illinois
(40.485010000411364, -88.99770999971656)"
2009,Illinois,0.12,0.07,0.23,0.58,"Illinois
(40.485010000411364, -88.99770999971656)"
2010,Illinois,0.12,0.05,0.24,0.60,"Illinois
(40.485010000411364, -88.99770999971656)"
1995,Indiana,0.24,0.03,0.23,0.50,"Indiana
(39.76690999989677, -86.14996000035359)"
1996,Indiana,0.25,0.04,0.24,0.48,"Indiana
(39.76690999989677, -86.14996000035359)"
1997,Indiana,0.22,0.05,0.24,0.50,"Indiana
(39.76690999989677, -86.14996000035359)"
1998,Indiana,0.21,0.05,0.26,0.48,"Indiana
(39.76690999989677, -86.14996000035359)"
1999,Indiana,0.23,0.05,0.22,0.51,"Indiana
(39.76690999989677, -86.14996000035359)"
2000,Indiana,0.22,0.05,0.23,0.51,"Indiana
(39.76690999989677, -86.14996000035359)"
2001,Indiana,0.22,0.06,0.23,0.50,"Indiana
(39.76690999989677, -86.14996000035359)"
2002,Indiana,0.23,0.05,0.23,0.49,"Indiana
(39.76690999989677, -86.14996000035359)"
2003,Indiana,0.21,0.05,0.24,0.50,"Indiana
(39.76690999989677, -86.14996000035359)"
2004,Indiana,0.20,0.05,0.23,0.53,"Indiana
(39.76690999989677, -86.14996000035359)"
2005,Indiana,0.21,0.06,0.23,0.50,"Indiana
(39.76690999989677, -86.14996000035359)"
2006,Indiana,0.19,0.06,0.23,0.53,"Indiana
(39.76690999989677, -86.14996000035359)"
2007,Indiana,0.18,0.06,0.23,0.53,"Indiana
(39.76690999989677, -86.14996000035359)"
2008,Indiana,0.20,0.06,0.23,0.51,"Indiana
(39.76690999989677, -86.14996000035359)"
2009,Indiana,0.17,0.06,0.24,0.53,"Indiana
(39.76690999989677, -86.14996000035359)"
2010,Indiana,0.16,0.05,0.25,0.54,"Indiana
(39.76690999989677, -86.14996000035359)"
1995,Iowa,0.20,0.03,0.24,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
1996,Iowa,0.20,0.04,0.24,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
1997,Iowa,0.19,0.04,0.24,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
1998,Iowa,0.18,0.05,0.24,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
1999,Iowa,0.19,0.05,0.25,0.52,"Iowa
(42.469390000048634, -93.81649000001335)"
2000,Iowa,0.18,0.05,0.23,0.54,"Iowa
(42.469390000048634, -93.81649000001335)"
2001,Iowa,0.17,0.05,0.25,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
2002,Iowa,0.19,0.04,0.23,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
2003,Iowa,0.16,0.05,0.25,0.54,"Iowa
(42.469390000048634, -93.81649000001335)"
2004,Iowa,0.16,0.05,0.21,0.58,"Iowa
(42.469390000048634, -93.81649000001335)"
2005,Iowa,0.16,0.04,0.25,0.55,"Iowa
(42.469390000048634, -93.81649000001335)"
2006,Iowa,0.17,0.04,0.24,0.55,"Iowa
(42.469390000048634, -93.81649000001335)"
2007,Iowa,0.15,0.05,0.24,0.57,"Iowa
(42.469390000048634, -93.81649000001335)"
2008,Iowa,0.14,0.05,0.25,0.57,"Iowa
(42.469390000048634, -93.81649000001335)"
2009,Iowa,0.13,0.04,0.24,0.59,"Iowa
(42.469390000048634, -93.81649000001335)"
2010,Iowa,0.12,0.04,0.23,0.60,"Iowa
(42.469390000048634, -93.81649000001335)"
1995,Kansas,0.19,0.03,0.24,0.54,"Kansas
(38.34774000000118, -98.20077999969709)"
1996,Kansas,0.19,0.04,0.20,0.58,"Kansas
(38.34774000000118, -98.20077999969709)"
1997,Kansas,0.18,0.04,0.19,0.58,"Kansas
(38.34774000000118, -98.20077999969709)"
1998,Kansas,0.17,0.04,0.22,0.57,"Kansas
(38.34774000000118, -98.20077999969709)"
1999,Kansas,0.18,0.03,0.23,0.56,"Kansas
(38.34774000000118, -98.20077999969709)"
2000,Kansas,0.17,0.04,0.24,0.55,"Kansas
(38.34774000000118, -98.20077999969709)"
2001,Kansas,0.17,0.05,0.24,0.54,"Kansas
(38.34774000000118, -98.20077999969709)"
2002,Kansas,0.18,0.05,0.24,0.54,"Kansas
(38.34774000000118, -98.20077999969709)"
2003,Kansas,0.16,0.04,0.23,0.57,"Kansas
(38.34774000000118, -98.20077999969709)"
2004,Kansas,0.15,0.05,0.22,0.59,"Kansas
(38.34774000000118, -98.20077999969709)"
2005,Kansas,0.14,0.04,0.24,0.58,"Kansas
(38.34774000000118, -98.20077999969709)"
2006,Kansas,0.15,0.05,0.24,0.56,"Kansas
(38.34774000000118, -98.20077999969709)"
2007,Kansas,0.14,0.04,0.23,0.59,"Kansas
(38.34774000000118, -98.20077999969709)"
2008,Kansas,0.13,0.05,0.23,0.59,"Kansas
(38.34774000000118, -98.20077999969709)"
2009,Kansas,0.13,0.05,0.23,0.59,"Kansas
(38.34774000000118, -98.20077999969709)"
2010,Kansas,0.12,0.05,0.24,0.59,"Kansas
(38.34774000000118, -98.20077999969709)"
1995,Kentucky,0.25,0.03,0.22,0.50,"Kentucky
(37.645969999815804, -84.77496999996538)"
1996,Kentucky,0.28,0.04,0.23,0.45,"Kentucky
(37.645969999815804, -84.77496999996538)"
1997,Kentucky,0.28,0.03,0.24,0.46,"Kentucky
(37.645969999815804, -84.77496999996538)"
1998,Kentucky,0.28,0.03,0.23,0.46,"Kentucky
(37.645969999815804, -84.77496999996538)"
1999,Kentucky,0.26,0.04,0.23,0.47,"Kentucky
(37.645969999815804, -84.77496999996538)"
2000,Kentucky,0.27,0.04,0.23,0.47,"Kentucky
(37.645969999815804, -84.77496999996538)"
2001,Kentucky,0.26,0.05,0.24,0.46,"Kentucky
(37.645969999815804, -84.77496999996538)"
